id_partida,ano_campeonato,Data,Mandante,Visitante,estado_mandante,estado_visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase,tipo_fase,is_mata_mata,is_classico_estadual,total_gols,saldo_gols_mandante,saldo_gols_visitante,pontos_mandante,pontos_visitante
8828,1994,1994-09-24,União São João,Internacional,SP,RS,3.0,0.0,V,D,NORMAL,D,Fase de Grupos,False,False,3,3,-3,2,0
8829,1994,1994-09-25,Corinthians,Criciúma,SP,SC,3.0,2.0,V,D,NORMAL,A,Fase de Grupos,False,False,5,1,-1,2,0
8830,1994,1994-09-25,Flamengo,Sport,RJ,PE,3.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,3,-3,2,0
8831,1994,1994-09-25,Grêmio,Red Bull Bragantino,RS,SP,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,1,-1,2,0
8832,1994,1994-09-25,Vitória,Botafogo,BA,RJ,2.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,2,2,-2,2,0
8833,1994,1994-09-25,Portuguesa,Atlético Mineiro,SP,MG,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,False,0,0,0,1,1
8834,1994,1994-09-25,Vasco,Bahia,RJ,BA,2.0,3.0,D,V,NORMAL,C,Fase de Grupos,False,False,5,-1,1,0,2
8835,1994,1994-09-25,Remo,Santos,PA,SP,1.0,4.0,D,V,NORMAL,C,Fase de Grupos,False,False,5,-3,3,0,2
8836,1994,1994-09-25,Cruzeiro,Guarani,MG,SP,1.0,2.0,D,V,NORMAL,C,Fase de Grupos,False,False,3,-1,1,0,2
8837,1994,1994-09-27,Botafogo,Bahia,RJ,BA,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8838,1994,1994-10-01,Fluminense,Corinthians,RJ,SP,1.0,3.0,D,V,NORMAL,A,Fase de Grupos,False,False,4,-2,2,0,2
8839,1994,1994-10-01,Palmeiras,Sport,SP,PE,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8840,1994,1994-10-02,Guarani,Internacional,SP,RS,0.0,0.0,E,E,NORMAL,A,Fase de Grupos,False,False,0,0,0,1,1
8841,1994,1994-10-02,Grêmio,Portuguesa,RS,SP,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,1,-1,2,0
8842,1994,1994-10-02,Flamengo,Santos,RJ,SP,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8843,1994,1994-10-02,Bahia,Paraná,BA,PR,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8844,1994,1994-10-02,Vitória,Náutico,BA,PE,2.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,2,2,-2,2,0
8845,1994,1994-10-02,Cruzeiro,Criciúma,MG,SC,3.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,3,3,-3,2,0
8846,1994,1994-10-05,Paysandu,Vasco,PA,RJ,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8847,1994,1994-10-05,Atlético Mineiro,União São João,MG,SP,3.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,3,3,-3,2,0
8848,1994,1994-10-06,Remo,Red Bull Bragantino,PA,SP,0.0,3.0,D,V,NORMAL,4F,Fase Classificatória,False,False,3,-3,3,0,2
8849,1994,1994-10-08,Palmeiras,Paraná,SP,PR,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8850,1994,1994-10-08,Santos,São Paulo,SP,SP,2.0,3.0,D,V,NORMAL,B,Fase de Grupos,False,True,5,-1,1,0,2
8851,1994,1994-10-08,Sport,Flamengo,PE,RJ,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8852,1994,1994-10-08,Portuguesa,Guarani,SP,SP,1.0,1.0,E,E,NORMAL,A,Fase de Grupos,False,True,2,0,0,1,1
8853,1994,1994-10-09,Corinthians,Grêmio,SP,RS,3.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,3,-3,2,0
8854,1994,1994-10-09,Fluminense,Vasco,RJ,RJ,0.0,0.0,E,E,NORMAL,A,Fase de Grupos,False,True,0,0,0,1,1
8855,1994,1994-10-09,Internacional,Paysandu,RS,PA,3.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,False,4,2,-2,2,0
8856,1994,1994-10-09,Cruzeiro,Vitória,MG,BA,2.0,1.0,V,D,NORMAL,4F,Fase Classificatória,False,False,3,1,-1,2,0
8857,1994,1994-10-09,Náutico,Remo,PE,PA,0.0,1.0,D,V,NORMAL,4F,Fase Classificatória,False,False,1,-1,1,0,2
8858,1994,1994-10-09,Criciúma,Atlético Mineiro,SC,MG,2.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,2,2,-2,2,0
8859,1994,1994-10-09,Red Bull Bragantino,União São João,SP,SP,1.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,True,1,1,-1,2,0
8860,1994,1994-10-12,Paraná,Sport,PR,PE,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,False,0,0,0,1,1
8861,1994,1994-10-12,Internacional,Fluminense,RS,RJ,3.0,2.0,V,D,NORMAL,A,Fase de Grupos,False,False,5,1,-1,2,0
8862,1994,1994-10-12,Guarani,Corinthians,SP,SP,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,True,3,1,-1,2,0
8863,1994,1994-10-12,Vitória,Remo,BA,PA,0.0,1.0,D,V,NORMAL,4F,Fase Classificatória,False,False,1,-1,1,0,2
8864,1994,1994-10-12,Portuguesa,Paysandu,SP,PA,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8865,1994,1994-10-14,São Paulo,Botafogo,SP,RJ,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8866,1994,1994-10-15,Bahia,Palmeiras,BA,SP,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8867,1994,1994-10-15,Corinthians,Vasco,SP,RJ,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,1,-1,2,0
8868,1994,1994-10-15,Fluminense,Guarani,RJ,SP,1.0,2.0,D,V,NORMAL,A,Fase de Grupos,False,False,3,-1,1,0,2
8869,1994,1994-10-16,Paraná,São Paulo,PR,SP,2.0,2.0,E,E,NORMAL,B,Fase de Grupos,False,False,4,0,0,1,1
8870,1994,1994-10-16,Botafogo,Flamengo,RJ,RJ,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,True,1,1,-1,2,0
8871,1994,1994-10-16,Santos,Sport,SP,PE,2.0,2.0,E,E,NORMAL,B,Fase de Grupos,False,False,4,0,0,1,1
8872,1994,1994-10-16,Atlético Mineiro,Red Bull Bragantino,MG,SP,1.0,1.0,E,E,NORMAL,4F,Fase Classificatória,False,False,2,0,0,1,1
8873,1994,1994-10-16,Náutico,Cruzeiro,PE,MG,2.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,2,2,-2,2,0
8874,1994,1994-10-16,União São João,Criciúma,SP,SC,1.0,1.0,E,E,NORMAL,4F,Fase Classificatória,False,False,2,0,0,1,1
8875,1994,1994-10-16,Grêmio,Internacional,RS,RS,1.0,1.0,E,E,NORMAL,A,Fase de Grupos,False,True,2,0,0,1,1
8876,1994,1994-10-19,Vasco,Portuguesa,RJ,SP,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8877,1994,1994-10-19,Paysandu,Grêmio,PA,RS,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8878,1994,1994-10-19,Red Bull Bragantino,Criciúma,SP,SC,4.0,1.0,V,D,NORMAL,4F,Fase Classificatória,False,False,5,3,-3,2,0
8879,1994,1994-10-20,União São João,Vitória,SP,BA,4.0,2.0,V,D,NORMAL,4F,Fase Classificatória,False,False,6,2,-2,2,0
8880,1994,1994-10-20,Atlético Mineiro,Náutico,MG,PE,1.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,1,1,-1,2,0
8881,1994,1994-10-22,Santos,Botafogo,SP,RJ,2.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,2,2,-2,2,0
8882,1994,1994-10-22,Flamengo,Palmeiras,RJ,SP,2.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,2,2,-2,2,0
8883,1994,1994-10-22,Palmeiras,Santos,SP,SP,2.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,True,2,2,-2,2,0
8884,1994,1994-10-22,Botafogo,Paraná,RJ,PR,3.0,2.0,V,D,NORMAL,B,Fase de Grupos,False,False,5,1,-1,2,0
8885,1994,1994-10-22,Sport,Bahia,PE,BA,2.0,1.0,V,D,NORMAL,B,Fase de Grupos,False,False,3,1,-1,2,0
8886,1994,1994-10-22,Remo,Criciúma,PA,SC,2.0,2.0,E,E,NORMAL,4F,Fase Classificatória,False,False,4,0,0,1,1
8887,1994,1994-10-23,São Paulo,Bahia,SP,BA,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8888,1994,1994-10-23,Corinthians,Portuguesa,SP,SP,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,True,3,1,-1,2,0
8889,1994,1994-10-23,Grêmio,Guarani,RS,SP,1.0,2.0,D,V,NORMAL,A,Fase de Grupos,False,False,3,-1,1,0,2
8890,1994,1994-10-23,Vasco,Internacional,RJ,RS,5.0,2.0,V,D,NORMAL,A,Fase de Grupos,False,False,7,3,-3,2,0
8891,1994,1994-10-23,Paysandu,Fluminense,PA,RJ,0.0,0.0,E,E,NORMAL,A,Fase de Grupos,False,False,0,0,0,1,1
8892,1994,1994-10-23,Atlético Mineiro,Cruzeiro,MG,MG,1.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,True,1,1,-1,2,0
8893,1994,1994-10-23,Red Bull Bragantino,Vitória,SP,BA,0.0,1.0,D,V,NORMAL,4F,Fase Classificatória,False,False,1,-1,1,0,2
8894,1994,1994-10-23,União São João,Náutico,SP,PE,1.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,1,1,-1,2,0
8895,1994,1994-10-26,Palmeiras,Botafogo,SP,RJ,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8896,1994,1994-10-26,Paraná,Flamengo,PR,RJ,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,False,0,0,0,1,1
8897,1994,1994-10-26,Bahia,Santos,BA,SP,3.0,2.0,V,D,NORMAL,B,Fase de Grupos,False,False,5,1,-1,2,0
8898,1994,1994-10-26,Internacional,Corinthians,RS,SP,0.0,0.0,E,E,NORMAL,A,Fase de Grupos,False,False,0,0,0,1,1
8899,1994,1994-10-26,Vasco,Grêmio,RJ,RS,0.0,2.0,D,V,NORMAL,A,Fase de Grupos,False,False,2,-2,2,0,2
8900,1994,1994-10-26,Guarani,Paysandu,SP,PA,2.0,2.0,E,E,NORMAL,A,Fase de Grupos,False,False,4,0,0,1,1
8901,1994,1994-10-26,Criciúma,Vitória,SC,BA,2.0,2.0,E,E,NORMAL,4F,Fase Classificatória,False,False,4,0,0,1,1
8902,1994,1994-10-26,Náutico,Red Bull Bragantino,PE,SP,2.0,0.0,V,D,NORMAL,4F,Fase Classificatória,False,False,2,2,-2,2,0
8903,1994,1994-10-27,Fluminense,Portuguesa,RJ,SP,2.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,False,3,1,-1,2,0
8904,1994,1994-10-27,Atlético Mineiro,Remo,MG,PA,2.0,1.0,V,D,NORMAL,4F,Fase Classificatória,False,False,3,1,-1,2,0
8905,1994,1994-10-28,São Paulo,Flamengo,SP,RJ,3.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,3,3,-3,2,0
8906,1994,1994-10-28,Cruzeiro,União São João,MG,SP,3.0,2.0,V,D,NORMAL,4F,Fase Classificatória,False,False,5,1,-1,2,0
